width	title	line
20	'f1'	'──────── f1 ────────'
20	'a'	'──────── a ─────────'
20	''	'────────────────────'
20	'0123456789abcdef'	'─ 0123456789abcdef ─'
20	'session-abcdef01-2345-6789'	'─ session-abcdef0… ─'
20	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxx… ─'
20	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxx… ─'
20	'你好世界'	'───── 你好世界 ─────'
20	'éclair'	'────── éclair ──────'
21	'f1'	'──────── f1 ─────────'
21	'a'	'───────── a ─────────'
21	''	'─────────────────────'
21	'0123456789abcdef'	'─ 0123456789abcdef ──'
21	'session-abcdef01-2345-6789'	'─ session-abcdef01… ─'
21	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxx… ─'
21	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxx… ─'
21	'你好世界'	'───── 你好世界 ──────'
21	'éclair'	'────── éclair ───────'
40	'f1'	'────────────────── f1 ──────────────────'
40	'a'	'────────────────── a ───────────────────'
40	''	'────────────────────────────────────────'
40	'0123456789abcdef'	'─────────── 0123456789abcdef ───────────'
40	'session-abcdef01-2345-6789'	'────── session-abcdef01-2345-6789 ──────'
40	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
40	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
40	'你好世界'	'─────────────── 你好世界 ───────────────'
40	'éclair'	'──────────────── éclair ────────────────'
60	'f1'	'──────────────────────────── f1 ────────────────────────────'
60	'a'	'──────────────────────────── a ─────────────────────────────'
60	''	'────────────────────────────────────────────────────────────'
60	'0123456789abcdef'	'───────────────────── 0123456789abcdef ─────────────────────'
60	'session-abcdef01-2345-6789'	'──────────────── session-abcdef01-2345-6789 ────────────────'
60	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
60	'xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'	'─ xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx… ─'
60	'你好世界'	'───────────────────────── 你好世界 ─────────────────────────'
60	'éclair'	'────────────────────────── éclair ──────────────────────────'
79	'f1'	'───────────────────────────────────── f1 ──────────────────────────────────────'
79	'a'	'────────────────────────────────────── a ──────────────────────────────────────'
79	''	'───────────────────────────────────────────────────────────────────────────────'
79	'0123456789abcdef'	'────────────────────────────── 0123456789abcdef ───────────────────────────────'
