width	message	wrapped
20	"Error processing conversation file /Users/x/.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/a.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/a.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaa.jsonl:\nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaa.jsonl\n: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaa.json\nl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaa.jso\nnl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaa.js\nonl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaa.j\nsonl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaa.\njsonl: Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\n.jsonl: Invalid date\nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\na.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naa.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaa.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaa.jsonl: Invalid \ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaa.jsonl: Invalid\ndate format: \n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaa.jsonl: \nInvalid date format:\n'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaa.jsonl:\n Invalid date \nformat: 'bogus-date'"
20	"Error processing conversation file /Users/x/aaaaaaaaaaaaaaaaaaaaaaaaa.jsonl: Invalid date format: 'bogus-date'"	"Error processing \nconversation file \n/Users/x/aaaaaaaaaaa\naaaaaaaaaaaaaa.jsonl\n: Invalid date \nformat: 'bogus-date'"
