colorterm	term	force_color	tty_compatible	no_color	isatty	forced	is_terminal	is_dumb	color_system	no_color_flag
-	-	-	-	-	True	False	True	False	standard	False
-	-	-	-	-	True	True	True	False	standard	False
-	-	-	-	-	False	False	False	False	None	False
-	-	-	-	-	False	True	True	False	standard	False
-	-	-	-	''	True	False	True	False	standard	False
-	-	-	-	''	True	True	True	False	standard	False
-	-	-	-	''	False	False	False	False	None	False
-	-	-	-	''	False	True	True	False	standard	False
-	-	-	-	'1'	True	False	True	False	standard	True
-	-	-	-	'1'	True	True	True	False	standard	True
-	-	-	-	'1'	False	False	False	False	None	True
-	-	-	-	'1'	False	True	True	False	standard	True
-	-	-	''	-	True	False	True	False	standard	False
-	-	-	''	-	True	True	True	False	standard	False
-	-	-	''	-	False	False	False	False	None	False
-	-	-	''	-	False	True	True	False	standard	False
-	-	-	''	''	True	False	True	False	standard	False
-	-	-	''	''	True	True	True	False	standard	False
-	-	-	''	''	False	False	False	False	None	False
-	-	-	''	''	False	True	True	False	standard	False
-	-	-	''	'1'	True	False	True	False	standard	True
-	-	-	''	'1'	True	True	True	False	standard	True
-	-	-	''	'1'	False	False	False	False	None	True
-	-	-	''	'1'	False	True	True	False	standard	True
-	-	-	'0'	-	True	False	False	False	None	False
-	-	-	'0'	-	True	True	True	False	standard	False
-	-	-	'0'	-	False	False	False	False	None	False
-	-	-	'0'	-	False	True	True	False	standard	False
-	-	-	'0'	''	True	False	False	False	None	False
-	-	-	'0'	''	True	True	True	False	standard	False
-	-	-	'0'	''	False	False	False	False	None	False
-	-	-	'0'	''	False	True	True	False	standard	False
-	-	-	'0'	'1'	True	False	False	False	None	True
-	-	-	'0'	'1'	True	True	True	False	standard	True
-	-	-	'0'	'1'	False	False	False	False	None	True
-	-	-	'0'	'1'	False	True	True	False	standard	True
-	-	-	'1'	-	True	False	True	False	standard	False
-	-	-	'1'	-	True	True	True	False	standard	False
-	-	-	'1'	-	False	False	True	False	standard	False
-	-	-	'1'	-	False	True	True	False	standard	False
-	-	-	'1'	''	True	False	True	False	standard	False
-	-	-	'1'	''	True	True	True	False	standard	False
-	-	-	'1'	''	False	False	True	False	standard	False
-	-	-	'1'	''	False	True	True	False	standard	False
-	-	-	'1'	'1'	True	False	True	False	standard	True
-	-	-	'1'	'1'	True	True	True	False	standard	True
-	-	-	'1'	'1'	False	False	True	False	standard	True
-	-	-	'1'	'1'	False	True	True	False	standard	True
-	-	''	-	-	True	False	False	False	None	False
-	-	''	-	-	True	True	True	False	standard	False
-	-	''	-	-	False	False	False	False	None	False
-	-	''	-	-	False	True	True	False	standard	False
-	-	''	-	''	True	False	False	False	None	False
-	-	''	-	''	True	True	True	False	standard	False
-	-	''	-	''	False	False	False	False	None	False
-	-	''	-	''	False	True	True	False	standard	False
-	-	''	-	'1'	True	False	False	False	None	True
-	-	''	-	'1'	True	True	True	False	standard	True
-	-	''	-	'1'	False	False	False	False	None	True
-	-	''	-	'1'	False	True	True	False	standard	True
-	-	''	''	-	True	False	False	False	None	False
-	-	''	''	-	True	True	True	False	standard	False
-	-	''	''	-	False	False	False	False	None	False
-	-	''	''	-	False	True	True	False	standard	False
-	-	''	''	''	True	False	False	False	None	False
-	-	''	''	''	True	True	True	False	standard	False
-	-	''	''	''	False	False	False	False	None	False
-	-	''	''	''	False	True	True	False	standard	False
-	-	''	''	'1'	True	False	False	False	None	True
-	-	''	''	'1'	True	True	True	False	standard	True
-	-	''	''	'1'	False	False	False	False	None	True
-	-	''	''	'1'	False	True	True	False	standard	True
-	-	''	'0'	-	True	False	False	False	None	False
-	-	''	'0'	-	True	True	True	False	standard	False
-	-	''	'0'	-	False	False	False	False	None	False
-	-	''	'0'	-	False	True	True	False	standard	False
-	-	''	'0'	''	True	False	False	False	None	False
-	-	''	'0'	''	True	True	True	False	standard	False
-	-	''	'0'	''	False	False	False	False	None	False
-	-	''	'0'	''	False	True	True	False	standard	False
-	-	''	'0'	'1'	True	False	False	False	None	True
-	-	''	'0'	'1'	True	True	True	False	standard	True
-	-	''	'0'	'1'	False	False	False	False	None	True
-	-	''	'0'	'1'	False	True	True	False	standard	True
-	-	''	'1'	-	True	False	True	False	standard	False
-	-	''	'1'	-	True	True	True	False	standard	False
-	-	''	'1'	-	False	False	True	False	standard	False
-	-	''	'1'	-	False	True	True	False	standard	False
-	-	''	'1'	''	True	False	True	False	standard	False
-	-	''	'1'	''	True	True	True	False	standard	False
-	-	''	'1'	''	False	False	True	False	standard	False
-	-	''	'1'	''	False	True	True	False	standard	False
-	-	''	'1'	'1'	True	False	True	False	standard	True
-	-	''	'1'	'1'	True	True	True	False	standard	True
